reason,count
user unable to locate where to submit tax number despite guidance,1
bot cannot issue or track promotional codes,1
user needs to contact support,1
complex GTM configuration issue,1
bot cannot process verification requests directly through chat,1
user did not provide required information,1
bot lacks capability to directly troubleshoot or fix integration issues between RedTrack and NewsBreak,1
user repeatedly requested live agent,1
bot provided general information but user sought specific assistance,1
tracking setup guidance was not completed,1
bot cannot resolve ad pending issue,1
bot cannot contact support directly,1
user dissatisfaction with pending resolution,1
bot cannot connect user to live agent,1
user unable to verify conversion code,1
user needs more detailed guidance,1
bot provided instructions but user faced technical issue,1
user did not confirm resolution for web event edit,1
bot cannot resolve custom code issues,1
requires human intervention for account-specific problems,1
bot cannot directly resolve URL validation issues,1
requires human intervention for appeal process,1
bot lacks access to specific ad spending data,1
user's ad spending issue may require human intervention,1
"bot cannot directly resolve ad review issues, requires human intervention",1
user unable to find click ID for postback integration,1
invalid IPN error not resolved,1
user request was too vague and bot did not clarify or provide a cancellation process,1
bot cannot directly resolve billing discrepancies,1
requires human intervention for detailed investigation,1
initial guidance was incomplete,1
user needed to submit a support ticket first,1
bot-lacks-information-about-clickbank-promotions,1
user requested human assistance before bot could fully assist,1
bot cannot connect user to a human agent,1
user's request to speak to an agent was not fulfilled,1
bot cannot resolve ad impression issues directly,1
bot provided general guidance but user still experienced duplicate conversions,1
lack of specific NewsBreak feature to enforce deduplication,1
user unable to locate campaign settings,1
bot provided general guidance but not specific solution,1
bot lacks capability to bypass postback conversion page,1
bot provided incorrect information about Click ID location,1
user had to use external help to solve the issue,1
bot-cannot-respond-due-to-quota-exceeded,1
verification requires email submission,1
bot cannot complete verification directly,1
bot lacks specific integration guide for Digistore24,1
issue requires deeper technical investigation,1
user lacks required verification information,1
bot cannot process payments or verify accounts,1
bot-cannot-access-account-settings,1
support-email-issue,1
bot lacks capability to provide invoice PDFs,1
feature not supported for PDF export,1
conversation-ended-abruptly,1
bot lacks capability to show existing running ads,1
bot lacks capability to directly process payments or resolve payment issues,1
bot-cannot-generate-invoice,1
user-unable-to-complete-payment,1
bot cannot modify or verify payment methods,1
user may need to contact bank or support,1
user needs to contact support for deletion,1
user encountered persistent error,1
user-lacks-admin-permissions,1
bot lacks capability to provide real-time application status updates,1
bot cannot initiate or process background checks,1
live chat support unavailable,1
verification process not completed,1
bot cannot delete pixel events,1
user's sales tracking issue unresolved,1
bot cannot manually verify endorsements or change ad status,1
live agent unavailable,1
user dissatisfaction with bot responses,1
bot cannot adjust billing settings directly,1
bot cannot directly review ads,1
requires business verification,1
bot cannot display specific video ad examples,1
bot-cannot-perform-ad-review,1
user requested human assistance which was not directly facilitated by the bot,1
"bot quota exceeded, unable to assist with pixel installation",1
bot cannot resolve ad rejection directly,1
invoice generation requires human intervention,1
user requested live agent before bot could assist,1
bot did not address Shopify pixel issue,1
user requested live agent after form submission,1
conversation abandoned before bot could assist further,1
bot provided instructions but user faced persistent issues with testing postback,1
bot could not provide specific CPC data,1
account manager identification requires human intervention,1
bot cannot verify ad policies with support team,1
user needs direct confirmation from support,1
user did not specify what they wanted to cancel,1
bot lacks capability to process cancellations directly,1
platform-issue-outside-bot-control,1
bot cannot remove credit card,1
user may still be charged due to unclear instructions,1
user-unable-to-interact-due-to-bot-delay,1
bot lacks capability to enable ad credit directly,1
bot directed user to email support for verification,1
verification requires human intervention,1
requires human intervention for account review,1
user did not provide enough information for the bot to process the cancellation,1
user requires human interaction for account-specific issues,1
bot cannot facilitate direct human contact,1
user-needs-to-provide-verification-details,1
all-tasks-addressed,1
bot cannot change upload size limits,1
bot provided general guidance but did not offer specific steps for RedTrack setup,1
lack of timely updates from support team,1
bot lacks capability to explain profile rejection,1
no direct feature to delete organization,1
bot cannot expedite verification,1
user does not meet ad spend threshold for dedicated management,1
feature to save company logo not supported,1
budget constraints unresolved,1
ad rejection reasons unclear to user,1
bot cannot process ad credit claims directly,1
requires human verification,1
user still not seeing data after successful test,1
bot provided general guidance but issue persisted,1
bot lacks live chat service,1
user's specific question about weekend account reviews was not directly answered,1
user-does-not-meet-spend-threshold-for-dedicated-account-manager,1
verification pending despite user providing information during sign-up,1
bot-lacks-ads-library-feature,1
user request 'blocket list' was unclear and not understood by the bot,1
bot cannot directly modify campaign data,1
user did not provide enough information for video size issue,1
postback tracking issue unresolved despite troubleshooting steps,1
verification process incomplete,1
ads not activated,1
user dissatisfaction with response time,1
bot lacks specific guidance for HasOffers platform,1
bot-cannot-provide-account-manager-contact,1
reply-quota-exhausted,1
bot cannot resolve technical error with event creation,1
user needs human intervention for account-specific issue,1
requires additional verification information from user,1
conflicting information about interest-based targeting,1
user unable to find targeting option,1
bot repeated information without confirming receipt of specific documents,1
user unsure if additional information is needed,1
user requires human assistance for ad credit issue,1
eligibility conditions not confirmed,1
user requested ad credits which require human verification and onboarding call,1
user needs to contact account manager for further assistance,1
account does not meet requirements for direct fund addition,1
user needs to contact support for further investigation,1
bot provided general advice but user needed specific troubleshooting for conversion tracking and dashboard issues,1
referral program information was provided but user had ongoing technical issues,1
user unable to find pixel code,1
second pixel not visible in event management,1
bot provided a link to a knowledge base article but did not directly assist with bypassing the postback,1
user requested human assistance which was not provided,1
user did not provide enough information for resolution,1
bot lacks capability to check ad credit status,1
bot lacks capability to resolve API errors directly,1
bot-repeated-quota-message,1
no-cancellation-option-provided,1
bot provided general advice but did not resolve the specific issue of IDFA not populating,1
user requested human assistance which indicates unresolved issue,1
bot provided troubleshooting steps but user did not confirm resolution,1
potential technical issue with pixel tool,1
user unable to save pixel integration,1
pixel creation unsuccessful despite troubleshooting,1
bot provided policy information but did not offer direct resolution steps for the specific violation,1
policy clarification needed from human,1
bot provided incorrect link,1
user unable to access necessary information,1
bot lacks capability to diagnose custom tracking issues,1
complexity of event tracking issue,1
technical issue with conversion tracking setup,1
user required human assistance for resolution,1
bot cannot manually verify pixels,1
user unable to find account ID in dashboard,1
user-requested-human-assistance-but-bot-continued,1
user did not provide requested information for further investigation,1
user unable to complete funnel due to paid product limitation,1
NewsBreak's testing tool never finishes verification,1
user unable to locate 'Me' page on web version,1
bot provided app-specific instructions initially,1
user-unable-to-click-existing-pixel,1
possible-technical-issue,1
bot cannot access account status information,1
fund withdrawal not supported,1
bot lacks capability to transfer audiences between ad accounts,1
user requested live agent after bot instructions,1
potential complexity in applying credits,1
user did not confirm if the issue was resolved after instructions,1
tracking issue unresolved by bot,1
bot-cannot-resolve-analytics-discrepancy,1
bot lacks capability to directly test Shopify pixel,1
ad status requires human verification,1
bot cannot access user's campaign start time,1
user requested live agent before bot could assist with ad review query,1
bot cannot provide specific pricing information,1
user directed to external site without resolution,1
bot lacks direct receipt download capability,1
conversion not appearing despite proper pixel setup and significant time lapse,1
broken link to help center,1
bot did not provide direct solution for audience exclusion,1
bot provided instructions but user sought direct help,1
bot cannot process ad credit requests directly,1
requires human verification and documentation,1
bot cannot apply ad credits,1
bot cannot connect to a human representative,1
ad rejection issue requires human intervention,1
meeting scheduling requires human involvement,1
no-clear-cancellation-process,1
user's conversion tracking issue remained unresolved,1
user sought direct contact which bot couldn't provide,1
user needs to apply for 'Add Ad Credits' feature,1
user must be account admin,1
ad approval process cannot be expedited by the bot,1
requires account verification,1
Etsy does not support custom tracking codes,1
user required human assistance for further clarification,1
user needs to provide additional verification information via email,1
bot cannot verify pixel activation status,1
requires confirmation from support team,1
bot cannot remove payment methods,1
bot cannot delete ad accounts,1
user dissatisfaction with billing options,1
user unable to remove original email,1
incorrect information about editing notifications,1
insufficient details on email verification rejection,1
bot lacks capability to adjust report time zone,1
user requested live agent before resolution,1
bot-requires-additional-information-to-analyze,1
user reported ongoing problem with sales tracking code,1
bot cannot modify token permissions directly,1
user needs to contact support for permission changes,1
bot lacks capability to process refunds,1
user unable to resolve pixel creation issue with provided guide,1
user-request-for-account-manager-not-fulfilled,1
user-guidance-on-ad-compliance-not-complete,1
bot provided general troubleshooting steps but user needed specific guidance on event duplication issue,1
user did not receive direct assistance with applying for Ad credit feature,1
bot provided instructions but user still faced issues,1
bot lacks capability to access account status,1
user needs specific verification details,1
ad rejection reasons not communicated directly by bot,1
bot provided general troubleshooting steps but user needed specific resolution,1
user did not confirm resolution of the issue,1
bot suggested waiting and contacting support if issue persists,1
requires human intervention to establish relationship with Account Manager,1
requires human intervention for account verification,1
bot lacks capability to directly address traffic quality issues,1
user dissatisfaction with provided solution,1
system delay in updating verification status,1
requires human intervention for confirmation,1
bot provided steps that did not match user's experience,1
missing download option in user's interface,1
bot cannot process feature requests directly,1
bot lacks capability to modify ad account settings,1
bot lacks capability to resolve missing download option in the interface,1
user was not satisfied with the policy link provided,1
process requires human intervention via email,1
requires user to provide additional information via email,1
bot provided general guidance but did not address specific reasons for failure,1
user may have encountered an issue not resolved by the bot's instructions,1
conversation ended before user provided necessary details for troubleshooting,1
user followed guide but still faced issues,1
bot provided troubleshooting steps but user needed further assistance,1
user-request-for-live-support-not-fulfilled,1
bot cannot process non-US documents for verification,1
user unable to locate 'Transaction History' despite instructions,1
bot lacks capability to access or modify user account balance,1
bot provided troubleshooting steps but did not directly resolve the issue,1
user unable to locate app_id in account settings,1
bot directed user to contact support,1
bot cannot change ad settings directly,1
requires human intervention,1
bot-cannot-transfer-to-live-agent,1
user-needs-human-verification,1
bot cannot generate invoices with specific company details,1
bot-provided-generic-advice,1
user-requested-human-intervention,1
bot-cannot-process-request-due-to-plan-limitation,1
bot cannot process reimbursements,1
bot cannot directly investigate ad spending issues,1
bot lacks specific instructions for uploading offline conversions with Everflow,1
user did not specify the context for the contact email request,1
bot-provided-correct-escalation-path,1
time zone adjustment feature not supported,1
conversion tag issue required human intervention,1
business verification required,1
bot lacks specific Click Cost ID information,1
conversation ended before user provided necessary information about tracking platform,1
user lacks website ownership for integration,1
bot cannot facilitate third-party collaboration,1
bot lacks capability to approve campaigns,1
user required human intervention,1
user requested live agent before bot could confirm resolution,1
bot lacks Shopify integration support,1
bot lacks capability to delete events,1
bot cannot provide specific change logs for tracking updates,1
user's issues require human intervention for resolution,1
bot provided incorrect information about spending limits per ad account,1
user needed human assistance for clarification,1
lack of specific RedTrack integration guide,1
bot lacks capability to provide direct PDF download link,1
user could not find organization ID,1
bot redirected user to support without resolving issue,1
bot-did-not-provide-specific-instructions-for-claiming-offer,1
user needs to fix URL issues independently,1
bot provided guidance but cannot directly fix URLs,1
bot cannot verify landing page accessibility,1
requires human intervention for campaign approval,1
user unable to find duplicate option in Ads Manager,1
bot cannot directly enable postback integration,1
bot requires additional verification documents for ad credit activation,1
bot cannot directly connect user to account manager,1
bot cannot resolve interface issues,1
bot-directed-user-to-email-support,1
bot-lacks-direct-setup-capability,1
bot lacks capability to download monthly billing reports,1
account manager request denied due to spend threshold,1
user unable to top up account due to account restrictions,1
shopify pixel integration issue unresolved,1
bot unable to provide direct human contact,1
email provided was not functional,1
bot lacks capability to connect user with human support,1
user's message quota exhausted,1
email support unresponsive,1
bot-cannot-respond-due-to-quota-limit,1
empty-transcript,1
user unable to locate account settings on website,1
bot unable to provide direct navigation assistance,1
"bot directed user to contact support, unable to resolve issue directly",1
bot unable to respond due to quota exhaustion,1
user's request for live agent not fulfilled,1
technical issue with ClickBank IPN not resolved,1
bot lacks capability to verify promotional credits,1
bot cannot release or expedite campaigns,1
bot lacks detailed information on specific data processing methods,1
bot lacks capability to directly resolve pixel tracking issues,1
user requires further assistance for multi-event tracking,1
feature to add URL parameters without resubmitting ads is not supported,1
bot cannot directly approve ads,1
requires business verification process,1
user did not provide sufficient information for resolution,1
user unsure about rejection details,1
user needs to provide verification documents to proceed,1
bot cannot complete account setup without user action,1
bot cannot handle ad rejection disputes,1
bot's message quota exhausted,1
manual ad credit payment requires business verification and spending threshold,1
manual postback approval not supported without testing,1
requires human intervention for billing investigation,1
user needs to email support for resolution,1
bot provided guidance but user still faced issues with cost tracking,1
user required further assistance beyond bot's capabilities,1
user requested live manager multiple times,1
bot did not escalate to human support,1
bot lacks capability to roll back creatives,1
no access to logs for previous creative states,1
bot cannot retrieve API token,1
payment threshold adjustment requires human intervention,1
bot lacks capability to provide specific audience names available on platform,1
user's request for audience names not met,1
incorrect URL provided for Everflow postback setup,1
"bot suggested checking tracking platform settings and contacting support, but did not resolve the issue directly",1
user unable to successfully fire postback despite following instructions,1
bot lacks specific integration guide for Keitaro,1
bot cannot access backend systems to verify account restrictions,1
user unable to locate settings section in ad manager,1
bot unable to provide further assistance,1
bot cannot access or resolve specific credit card issues,1
bot-transferred-to-live-agent,1
user-seeking-human-advice,1
bot lacks access to financial data,1
bot cannot provide specific advertiser information,1
user did not confirm resolution of conversion event issue,1
ACH payment setup guidance incomplete,1
user needs to email support,1
bot-cannot-resolve-payment-method-issue,1
missing-ad-credits-option,1
bot lacks capability to transfer ad credits,1
user's request requires human intervention for policy exceptions,1
user did not provide enough information for the bot to process the cancellation request,1
bot lacks capability to process cancellation requests,1
bot cannot change ad account threshold,1
bot lacks capability to connect user with specific personnel,1
user cannot proceed without paying balance,1
no alternative payment method available,1
bot lacks capability to provide API endpoint information,1
bot cannot access specific ad rejection details,1
bot cannot provide specific rejection reasons directly,1
bot unable to connect user directly to human support,1
user needs to provide additional verification details,1
user's business verification failed,1
ad approval requires additional information,1
user may not have followed troubleshooting steps,1
potential need for technical support,1
bot-did-not-address-campaign-data-query,1
bot cannot perform pixel authorization,1
user needs to contact account manager,1
bot lacks capability to set max cpc or cpm,1
user requires real-time monitoring tools,1
user needed direct human assistance for unresolved campaign issue,1
bot cannot resolve technical display issues,1
bot unable to provide live agent consistently,1
bot lacks capability to adjust ad settings directly,1
user dissatisfaction with traffic quality,1
user needs to contact organization admin for Slack access,1
bot cannot provide direct access to Slack channel,1
user already submitted required information,1
bot provided general advice but did not address specific user issue directly,1
bot-lacks-undelete-campaign-feature,1
user needs human intervention for appeal process,1
user reported no response from support email,1
bot-provided-correct-instructions,1
requires human intervention to review ad setup,1
bot cannot transfer to human assistant,1
user's request for human interaction was unmet,1
user unable to resolve TID issue despite following bot's instructions,1
requires human verification of account details,1
bot cannot fully troubleshoot postback issues,1
platform restriction on video length,1
user needed feature activation,1
bot cannot provide specific moderation status,1
bot cannot transfer to human agent,1
user required human assistance for domain-related query,1
transaction history does not specify which card was used,1
billing issue not resolved by bot,1
bot cannot access or send specific ad links directly,1
bot lacks capability to diagnose specific technical integration issues,1
requires human intervention for status update,1
user needs to provide additional information via email for verification,1
user requested human agent but bot provided email instructions instead,1
bot provided general advice but did not address specific budget spending issue,1
issue required escalation to technical team for further investigation,1
user did not provide sufficient details about ad campaign,1
invoice retrieval guidance was generic,1
user-experiencing-website-loading-issue,1
bot-provided-basic-troubleshooting,1
issue-persisted,1
bot lacks campaign duplication feature,1
user required human assistance for correct API call format,1
user-abandoned-conversation-before-agent-response,1
bot-cannot-access-review-system,1
verification-required,1
bot lacks capability to connect user to live support,1
bot cannot provide account manager's email,1
user's technical issue unresolved,1
user did not confirm if the guide resolved the issue,1
potential technical issue with video compression,1
user requires specific analysis beyond bot's capability,1
user prefers human support,1
bot-cannot-transfer-to-human,1
user-needs-human-review,1
potential technical issue not resolvable by bot,1
user directed to email support,1
dedicated account management not available for user's spend level,1
no direct platform for viewing similar industry ads,1
issue with ad platform being addressed externally,1
bot cannot resolve platform issues,1
technical issue with account settings,1
user interest option not visible,1
bot lacks access to specific targeting values,1
user needs human support for detailed API guidance,1
bot-lacks-live-agent-escalation-capability,1
temporary issue with ad platform API,1
user-request-for-human-assistance-unfulfilled,1
bot sent blank responses,1
user did not receive complete guidance on API usage,1
user unable to find ad link despite instructions,1
user unwilling to implement event tracking,1
bot lacks capability to expedite approval,1
bot cannot access payment system,1
refund process requires human intervention,1
user found ad management confusing,1
user unable to locate creatives tab despite instructions,1
potential account setup issue,1
user's account was verified but ad was still pending,1
bot suggested contacting support without resolving the issue,1
bot cannot directly resolve payment issues,1
user needs to contact support team,1
bot cannot remove payment method from account,1
bot provided general advice but did not resolve the specific payment issue,1
bot-cannot-process-cancellation,1
user faced billing issues with multiple cards,1
NewsBreak does not support lookalike audiences directly,1
account pending verification,1
user requires direct support intervention,1
bot cannot access account specifics to resolve ad status issue,1
user wanted direct human interaction,1
bot provided email contact instead of direct connection,1
bot cannot update website information,1
bot lacks detailed billing history download instructions,1
bot lacks capability to resolve technical tracking issues,1
bot does not provide site-specific performance data,1
bot lacks capability to directly enable ad credits feature,1
integration issue required human intervention,1
user did not confirm ad optimization completion,1
bot cannot modify account balance,1
user unable to find campaign settings,1
bot lacks capability to directly process refunds,1
user's refund issue requires human intervention,1
user-requested-live-agent-before-bot-could-assist,1
user needs to contact bank for refund,1
issue requires technical support team intervention,1
user required immediate human interaction,1
bot cannot expedite or check ad review status directly,1
requires human intervention for account cancellation,1
requires user to email support with specific verification details,1
bot cannot fix platform-side issues,1
user directed to contact support,1
user required confirmation on ad credit eligibility which bot could not provide,1
user did not provide enough context or details for the bot to process the cancellation,1
bot lacks capability to modify ad settings,1
bot cannot approve rejected ads,1
user faced issue with postback test not completing,1
bot cannot update billing information directly,1
user needs to contact support for account manager,1
bot cannot assist with RedTrack issues,1
user needs to provide documentation for account manager,1
ad rejection requires email follow-up,1
bot lacks capability to resolve account-specific issues,1
user reported missing feature in billing section,1
bot lacks cancellation processing capability,1
user unable to see pixel in Ad Manager after installation,1
possible misconfiguration or delay in pixel activation,1
bot cannot create invoices or tickets directly,1
user needs human assistance for invoice creation,1
bot-cannot-verify-url,1
bot lacks capability to directly resolve campaign configuration issues,1
bot-cannot-initiate-live-chat,1
response-delay-issue,1
user needs to email required information for verification,1
bot lacks specific integration instructions for Offer18,1
bot-cannot-resolve-billing-discrepancy,1
requires-human-intervention,1
user did not clarify media library type,1
bot cannot verify ad compliance,1
requires human review for policy disputes,1
issue persists despite correct postback setup,1
specific campaign issue not resolved by bot,1
bot cannot resolve pixel creation error,1
user needs guidance on event creation,1
bot cannot directly resolve ad rejection disputes,1
user needs to check email for specific rejection reasons,1
ad approval delay due to business verification,1
user needed human intervention for confirmation,1
feature-not-supported,1
ad credits are non-transferable,1
user unable to schedule call due to time zone mismatch,1
bot provided troubleshooting steps but user still faced issues,1
bot cannot directly access or modify ad settings,1
bot lacks capability to directly fix URL format issues,1
user-did-not-clarify-invitation-context,1
user's card authorization failed despite trying multiple cards,1
bot lacks capability to directly resolve payment issues,1
bot-repeated-quota-exceeded-message,1
no-cancellation-process-initiated,1
bot cannot change user roles beyond admin,1
user's ad spending issue may require deeper analysis or human intervention,1
bot-lacks-feature-to-exclude-ad-placements,1
user encountered issue saving pixel setup,1
bot provided general troubleshooting steps but did not resolve the issue,1
user-request-for-cancellation-not-processed-by-bot,1
user faced persistent issues with budget settings and ad inactivity despite following bot's instructions,1
user needed to contact support for unresolved issues,1
bot cannot process business verification,1
verification process requires human review,1
user faced persistent payment issues,1
ad credits feature requires admin approval and user is waiting,1
user required to complete onboarding call for verification,1
bot unable to bypass mandatory process,1
bot lacks capability to connect user with human agent,1
user did not provide required information for account verification,1
bot cannot access specific error details for card authorization failure,1
user may need further assistance beyond troubleshooting steps,1
potential issue with platform integration,1
user requested human support which the bot could not provide directly,1
bot lacks capability to directly modify landing pages,1
user requested human support which was not provided,1
bot cannot resolve third-party integration issues,1
requires Redtrack support for further investigation,1
user lacks permissions to add credits,1
bot-cannot-connect-to-human-operator,1
bot cannot directly cancel ads,1
user needs to email support for cancellation,1
bot lacks capability to change language settings,1
bot cannot review or approve ads,1
bot provided troubleshooting steps but user confirmed all steps were checked without resolution,1
bot cannot directly connect user to a human manager,1
user dissatisfied with bot's assistance,1
bot cannot directly complete account verification,1
requires user to send an email with specific information,1
feature-not-supported by the bot,1
user did not provide platform information for pixel creation,1
user unable to locate language settings despite multiple attempts and guidance,1
user's campaign spending issue not fully resolved despite suggestions,1
bot cannot directly approve campaigns,1
requires email submission for verification,1
bot-lacks-account-manager-assignment-capability,1
bot lacks specific information on time window,1
user needs to contact support for unresolved technical issues,1
bot cannot verify ad content or provide specific policy violation details,1
bot-cannot-provide-specific-demographic-data,1
user requires more specific guidance on server-side handling and integration specifics,1
bot lacks capability to directly interact with or diagnose server issues,1
bot cannot approve profiles,1
interest targeting feature not visible,1
user did not receive support response,1
user repeatedly requested human assistance,1
bot provided links but user did not confirm resolution,1
user abandoned conversation,1
bot cannot modify API permissions,1
user needs specific permission guidance,1
user requires human support for API issues,1
bot lacks capability to resolve billing discrepancies directly,1
user needs further assistance from support team,1
bot cannot change email address directly,1
bot-experienced-response-delay,1
user-did-not-receive-information,1
bot lacks capability to access or display existing pixel codes within NewsBreak dashboard,1
bot provided incorrect integration instructions for MaxConv,1
bot lacks capability to expedite ad reviews,1
verification process not clearly communicated,1
user's emails not responded to by support,1
bot cannot directly resolve card addition issues,1
user did not provide necessary campaign details for diagnosis,1
bot cannot provide event data viewing capability,1
bot lacks capability to modify ad placements,1
bot lacks capability to debug pixel code,1
ad comment feature not supported,1
user followed all provided steps but issue persisted,1
bot lacks capability to troubleshoot specific technical issues,1
bot-cannot-send-invoices,1
"bot quota exceeded, unable to process requests",1
user lacks specific disapproval reason,1
bot cannot access user-specific ad details,1
ad pending status not resolved,1
user needs human intervention for account verification,1
user could not find the bank transfer option in the billing section,1
user provided incorrect platform information,1
bot unable to adapt to changing user input,1
user did not receive the promotional code needed to redeem the ad credit,1
support team did not respond to user's inquiry,1
user needs to email support with verification details,1
ad pending issue unresolved,1
user required live agent for further assistance,1
bot lacks capability to directly resolve technical issues,1
user requested human assistance for unresolved issues,1
bot cannot perform account-specific actions,1
user-needs-to-provide-additional-information-for-verification,1
bot-did-not-escalate,1
user unable to successfully implement pixel despite troubleshooting steps,1
user did not receive a direct solution to fix the ad rejection issue,1
bot provided general guidance but no specific resolution,1
bot cannot transfer to human support,1
bypassing URL requires human intervention,1
requires user to take additional steps,1
user-provided-incomplete-information,1
bot-requested-clarification,1
bot cannot directly delete user account or credit card information,1
bot cannot access specific user account details,1
user-requested-human-support,1
bot-cannot-provide-phone-support,1
bot cannot verify pixel integration,1
user needs to perform a test purchase,1
bot cannot approve ads or resolve endorsement disputes,1
