topic,count,solved,solve_rate
user-support,4,0,0.0
card-authorization,4,1,0.25
wire-transfer,3,1,0.333
invoicing,3,3,1.0
live-chat-request,3,0,0.0
postback-issues,3,0,0.0
campaign-settings,3,1,0.333
invoice-retrieval,3,3,1.0
video-ads,3,1,0.333
campaign-control,3,2,0.667
learning-phase,3,2,0.667
password-change,3,1,0.333
email-change,3,1,0.333
audience-management,3,2,0.667
ad-account-management,3,2,0.667
refund-request,3,0,0.0
tracking-link,3,2,0.667
search-arbitrage,3,2,0.667
campaign-rejection,3,1,0.333
budget-issues,3,0,0.0
ad-formats,3,0,0.0
postback-tracking,3,0,0.0
video-upload,3,1,0.333
interest-targeting,3,0,0.0
campaign-scaling,3,2,0.667
event-setup,3,1,0.333
transaction-history,3,1,0.333
ad-campaign-status,3,2,0.667
audience-targeting,3,1,0.333
customer-support-request,3,1,0.333
ad-guidelines,3,1,0.333
budget-management,3,3,1.0
contact-information,3,2,0.667
cost-tracking,3,0,0.0
pixel-implementation,3,0,0.0
support-request,3,0,0.0
bidding-strategies,3,3,1.0
customer-support,3,0,0.0
brand-alignment,3,2,0.667
event-deletion,2,0,0.0
account-closure,2,1,0.5
account-id,2,0,0.0
lead-generation,2,1,0.5
clickmagick,2,1,0.5
newsbreak-platform,2,1,0.5
ad-dimensions,2,2,1.0
payment-failure,2,1,0.5
url-validation,2,0,0.0
pixel-troubleshooting,2,1,0.5
advertising-platform,2,1,0.5
user-onboarding,2,1,0.5
ad-specifications,2,2,1.0
campaign-budget,2,0,0.0
appsflyer-integration,2,2,1.0
billing-invoice,2,1,0.5
data-tracking,2,1,0.5
campaign-review,2,1,0.5
pending-ads,2,1,0.5
pixel-management,2,1,0.5
budget-increase,2,1,0.5
shopify,2,1,0.5
url-issues,2,0,0.0
landing-page,2,1,0.5
account-issues,2,0,0.0
clickbank-partnership,2,0,0.0
token-generation,2,2,1.0
gtm-setup,2,0,0.0
integration-issues,2,0,0.0
user-escalation,2,1,0.5
url-issue,2,0,0.0
email-instructions,2,2,1.0
ad-campaign-setup,2,1,0.5
ad-credit-redemption,2,1,0.5
ad-impressions,2,0,0.0
ad-tracking,2,2,1.0
promo-credit,2,2,1.0
impression-tracking,2,1,0.5
account-representative,2,1,0.5
error-resolution,2,1,0.5
traffic-issues,2,2,1.0
ad-spend,2,0,0.0
ad-manager,2,2,1.0
ad-policies,2,1,0.5
ad-platform-issue,2,0,0.0
account-deletion,2,0,0.0
time-zone,2,0,0.0
event-troubleshooting,2,1,0.5
webinar-bonus,2,1,0.5
account-issue,2,0,0.0
data-processing,2,0,0.0
technical-setup,2,0,0.0
duplicate-clicks,2,1,0.5
error-message,2,0,0.0
clickbank-affiliate,2,1,0.5
funds-addition,2,1,0.5
account-manager,2,0,0.0
user-invitation,2,1,0.5
reporting-timezone,2,1,0.5
click-discrepancy,2,0,0.0
email-support,2,0,0.0
email-inquiry,2,1,0.5
best-practices,2,2,1.0
lookalike-audience,2,1,0.5
payment-methods,2,0,0.0
ad-set-issues,2,0,0.0
email-notifications,2,0,0.0
sales-tracking,2,1,0.5
landing-page-issue,2,1,0.5
campaign-data,2,0,0.0
invalid-operation-error,2,0,0.0
account-funding,2,0,0.0
tracking-integration,2,0,0.0
receipt-download,2,1,0.5
feature-request,2,0,0.0
ad-length,2,0,0.0
ad-troubleshooting,2,0,0.0
data-issues,2,0,0.0
reporting-guide,2,1,0.5
ad-duplication,2,0,0.0
event-integration,2,0,0.0
clickbank-affiliates,2,2,1.0
ad-cancellation,2,0,0.0
audience-network,2,0,0.0
ad-credit-transfer,2,0,0.0
ad-traffic,2,1,0.5
account-balance,2,0,0.0
new-topic,2,0,0.0
billing-history,2,1,0.5
integration-issue,2,1,0.5
payment-options,2,2,1.0
bank-transfer,2,1,0.5
ad-not-running,2,0,0.0
account-creation,2,0,0.0
ad-review-delay,2,0,0.0
account-cancellation,2,0,0.0
platform-navigation,2,0,0.0
url-verification,2,0,0.0
scheduling,2,2,1.0
gtm-integration,2,0,0.0
campaign-creation,2,0,0.0
human-agent-request,2,0,0.0
campaign-spending,2,0,0.0
conversion-optimization,2,2,1.0
user-information,2,1,0.5
account-review,2,1,0.5
cpc-optimization,2,1,0.5
budgeting,2,1,0.5
ad-campaign-activation,1,0,0.0
account-permissions,1,0,0.0
authorization-fee,1,1,1.0
ad-credit-issue,1,0,0.0
account-problems,1,0,0.0
ads-account,1,0,0.0
automated-rules,1,0,0.0
navigation-issues,1,0,0.0
cpc-bidding,1,1,1.0
account-spending-issue,1,0,0.0
user-feedback,1,0,0.0
sweepstakes-policy,1,0,0.0
clickflare-setup,1,1,1.0
campaign-expedition,1,0,0.0
prepayment,1,1,1.0
credit-line-requirements,1,1,1.0
operator-assistance,1,0,0.0
email-information,1,1,1.0
proof-of-endorsement,1,1,1.0
access-removal,1,0,0.0
language-play,1,0,0.0
pixel-deletion,1,0,0.0
postback-web-event,1,0,0.0
file-optimization,1,1,1.0
billing-verification,1,1,1.0
refund-process,1,1,1.0
field-identification,1,0,0.0
traffic-policy,1,0,0.0
account-timezone,1,0,0.0
multi-organization-support,1,1,1.0
payment-process,1,1,1.0
request-reopening,1,1,1.0
new-request-submission,1,1,1.0
ownership-transfer,1,1,1.0
url-formatting,1,0,0.0
event-creation,1,0,0.0
newsletter-campaign,1,0,0.0
media-buying,1,0,0.0
account-manager-connection,1,0,0.0
credit-line,1,1,1.0
traffic-sources,1,1,1.0
ad-upload-issue,1,0,0.0
duplicate-content,1,0,0.0
time-zone-change,1,0,0.0
admanager-settings,1,0,0.0
web-traffic,1,0,0.0
desktop-users,1,0,0.0
web-campaigns,1,0,0.0
desktop-targeting,1,0,0.0
weight-loss-products,1,1,1.0
weebly-integration,1,0,0.0
conversion-troubleshooting,1,0,0.0
sports-betting,1,1,1.0
license-submission,1,1,1.0
ad-placements,1,1,1.0
advertising-policies,1,1,1.0
macro-explanation,1,0,0.0
account-information,1,0,0.0
tax-information,1,0,0.0
dba,1,1,1.0
notification,1,1,1.0
minimum-budget,1,1,1.0
raster-check,1,1,1.0
submission-status,1,0,0.0
invoice-generation,1,0,0.0
traffic-start,1,1,1.0
api-key,1,1,1.0
clickflare-integration,1,1,1.0
audience-insights,1,0,0.0
access-denied,1,0,0.0
link-issue,1,0,0.0
email-issues,1,0,0.0
ad-approval-delay,1,0,0.0
ad-credit-claim,1,1,1.0
expedited-review,1,0,0.0
educational-resources,1,0,0.0
human-interaction,1,0,0.0
web-events-management,1,0,0.0
ad-creative-upload,1,1,1.0
tax-invoice,1,0,0.0
advertiser-tools,1,0,0.0
quota-exhausted,1,0,0.0
audience-size,1,1,1.0
high-cpc,1,1,1.0
individual-advertising,1,0,0.0
ad-submission-issues,1,0,0.0
conversion-pixels,1,0,0.0
wix-integration,1,0,0.0
ad-promotion,1,1,1.0
redbubble-integration,1,1,1.0
ad-format,1,0,0.0
landing-page-issues,1,0,0.0
user-abandoned,1,0,0.0
ad-flagging,1,0,0.0
ad-id-query,1,1,1.0
reporting-issues,1,0,0.0
promotional-credit,1,0,0.0
google-tag-manager,1,1,1.0
ad-account-locked,1,0,0.0
api-setup,1,0,0.0
pixel-testing,1,1,1.0
tax-number,1,0,0.0
promotional-code,1,0,0.0
ad-spending-issue,1,0,0.0
cbd-ads,1,0,0.0
ach-payment,1,0,0.0
illegal-asset,1,0,0.0
account-category,1,0,0.0
conversion-code,1,0,0.0
role-assignment,1,0,0.0
user-addition,1,1,1.0
conversion-verification,1,0,0.0
web-event-management,1,1,1.0
account-category-change,1,1,1.0
test-purchase,1,1,1.0
inactive-campaigns,1,0,0.0
promotion-conditions,1,1,1.0
advertising-regions,1,1,1.0
brand-name-update,1,1,1.0
bonus-inquiry,1,0,0.0
human-assistance,1,0,0.0
user-verification,1,1,1.0
deduplication,1,0,0.0
card-payment,1,1,1.0
campaign-traffic,1,0,0.0
postback-conversion,1,0,0.0
click-id-issue,1,0,0.0
integration-guidance,1,0,0.0
account-upgrade,1,0,0.0
url-configuration,1,1,1.0
timezone-issue,1,0,0.0
target-roas,1,1,1.0
invoice-pdf,1,0,0.0
report-export,1,0,0.0
language-switching,1,1,1.0
ad-library,1,0,0.0
ad-warning,1,0,0.0
campaign-tracking,1,1,1.0
web-event-tracking,1,0,0.0
campaign-diagnostics,1,1,1.0
user-permissions,1,0,0.0
application-status,1,0,0.0
background-check,1,0,0.0
campaign-visibility,1,0,0.0
audience-issues,1,0,0.0
landing-page-setup,1,0,0.0
metrics-tracking,1,1,1.0
purchase-notifications,1,1,1.0
ad-compliance,1,1,1.0
ad-setup-process,1,0,0.0
credit-card-charges,1,0,0.0
beauty-industry,1,0,0.0
ad-examples,1,0,0.0
ad-account-creation,1,1,1.0
business-funding,1,1,1.0
adjust-tracking,1,1,1.0
cpc-inquiry,1,0,0.0
promotion-eligibility,1,1,1.0
advertising-software,1,0,0.0
display-issues,1,0,0.0
account-eligibility,1,0,0.0
account-rejection,1,0,0.0
policy-guidance,1,1,1.0
dedicated-support,1,1,1.0
technical-integration,1,1,1.0
onboarding,1,1,1.0
conversion-action,1,0,0.0
campaign-editing,1,0,0.0
organization-management,1,0,0.0
traffic-management,1,1,1.0
campaign-launch,1,1,1.0
image-sizes,1,0,0.0
conversion-pixel,1,0,0.0
live-chat-availability,1,0,0.0
account-review-timing,1,0,0.0
ad-revision,1,1,1.0
ads-library,1,0,0.0
unclear-request,1,0,0.0
click-bait,1,1,1.0
url-restriction,1,1,1.0
conversion-management,1,0,0.0
video-upload-size,1,0,0.0
postback-testing,1,0,0.0
platform-integration,1,0,0.0
account-activation,1,0,0.0
account-id-retrieval,1,0,0.0
security-protocol,1,0,0.0
ad-report-export,1,0,0.0
bonus-offer,1,1,1.0
seminar-promotion,1,1,1.0
referral-program,1,0,0.0
dashboard-issues,1,0,0.0
ad-resubmission,1,1,1.0
double-charge,1,0,0.0
impression-problems,1,1,1.0
ad-network,1,1,1.0
creative-strategy,1,1,1.0
access-pixel-code,1,0,0.0
voluum-connection,1,0,0.0
policy-clarification,1,1,1.0
media-processing,1,0,0.0
quota-exhaustion,1,0,0.0
incentive-credit,1,1,1.0
idfa-macro,1,0,0.0
ios-privacy,1,0,0.0
ad-policy-violation,1,0,0.0
brand-name-alignment,1,0,0.0
policy-appeal,1,0,0.0
ad-conversions,1,1,1.0
targeting-strategy,1,1,1.0
link-tracking,1,0,0.0
404-error,1,0,0.0
new-client,1,1,1.0
click-to-call,1,1,1.0
landing-page-compliance,1,1,1.0
tracking-code,1,1,1.0
dynamic-link,1,1,1.0
pixel-verification,1,0,0.0
conversion-postback,1,0,0.0
testing-issues,1,0,0.0
account-navigation,1,0,0.0
pixel-base-code,1,0,0.0
fund-withdrawal,1,0,0.0
audience-transfer,1,0,0.0
promotion-issue,1,0,0.0
app-navigation,1,1,1.0
clickflare-support,1,0,0.0
creative-testing,1,0,0.0
ad-set-creation,1,1,1.0
analytics-issue,1,0,0.0
shopify-pixel,1,0,0.0
campaign-start-time,1,0,0.0
video-ad-specs,1,0,0.0
ad-strategy,1,0,0.0
advertising-pricing,1,0,0.0
sponsored-posts,1,0,0.0
ads-manager,1,0,0.0
audience-network-exclusion,1,0,0.0
help-center-access,1,0,0.0
add-credit,1,0,0.0
help-center,1,0,0.0
promo-offer,1,0,0.0
human-representative-request,1,0,0.0
ai-agents,1,0,0.0
review-process,1,1,1.0
ad-credit-redeem,1,0,0.0
account-admin-requirement,1,0,0.0
funnel-strategy,1,1,1.0
clickbait-claims,1,1,1.0
etsy-integration,1,0,0.0
nextjs,1,0,0.0
conversion-events,1,1,1.0
cost-discrepancy,1,0,0.0
ad-ctr,1,0,0.0
conversion-drop,1,0,0.0
token-permissions,1,0,0.0
authorization-charge,1,0,0.0
ad-submission,1,0,0.0
pixel-web-event,1,0,0.0
ad-credit-application,1,0,0.0
advertising-opportunities,1,1,1.0
training-materials,1,1,1.0
webinar-signup,1,1,1.0
web-event-setup,1,0,0.0
postback-configuration,1,0,0.0
ad-activity,1,0,0.0
billing-setup,1,0,0.0
bot-traffic,1,0,0.0
traffic-quality,1,0,0.0
pending-status,1,0,0.0
onboarding-call,1,1,1.0
cost-retrieval,1,1,1.0
transaction-download,1,0,0.0
company-launch,1,0,0.0
announcement-check,1,0,0.0
campaign-spending-issue,1,0,0.0
custom-event-testing,1,0,0.0
ad-duration,1,0,0.0
live-support,1,0,0.0
support-hours,1,0,0.0
ads-invoice,1,0,0.0
account-credit-issue,1,0,0.0
sync-problem,1,0,0.0
app-id-location,1,0,0.0
video-ad-duration,1,0,0.0
web-event-verification,1,1,1.0
custom-integration,1,1,1.0
callback-parameter,1,1,1.0
account-report,1,0,0.0
flagged-ads,1,1,1.0
ad-set-issue,1,0,0.0
billing-discrepancy,1,0,0.0
reimbursement-request,1,0,0.0
offline-conversions,1,0,0.0
promotion,1,1,1.0
url-change,1,0,0.0
invite-user,1,1,1.0
ad-objective,1,0,0.0
time-zone-adjustment,1,0,0.0
web-event-integration,1,0,0.0
pixel-postback,1,0,0.0
third-party-collaboration,1,0,0.0
credit-redemption,1,0,0.0
shopify-setup,1,0,0.0
dashboard-management,1,0,0.0
click-id-tracking,1,0,0.0
spending-limit,1,0,0.0
prepay-account,1,0,0.0
document-submission,1,1,1.0
billing-invoices,1,1,1.0
api-access-token,1,1,1.0
keitaro-integration,1,1,1.0
s2s-tracking,1,1,1.0
newsbreak-pixel,1,1,1.0
organization-id,1,0,0.0
cashback-offer,1,0,0.0
clickbank-campaign,1,0,0.0
access-token,1,1,1.0
us-traffic,1,0,0.0
new-accounts,1,1,1.0
temporary-charge,1,1,1.0
ad-credit-activation,1,0,0.0
account-manager-contact,1,0,0.0
brand-consistency,1,1,1.0
ad-editing,1,1,1.0
business-name-setup,1,0,0.0
identification-numbers,1,1,1.0
human-contact,1,0,0.0
display-issue,1,1,1.0
email-communication,1,0,0.0
empty-transcript,1,0,0.0
campaign-release,1,0,0.0
business-model,1,1,1.0
advertising-services,1,1,1.0
geographic-coverage,1,1,1.0
tracker-switch,1,1,1.0
purchase-postback,1,1,1.0
s2s-integration,1,1,1.0
event-display-logic,1,0,0.0
mmp-integration,1,0,0.0
image-guidelines,1,1,1.0
gambling-ads,1,1,1.0
conversion-reporting,1,0,0.0
ad-parameters,1,0,0.0
agency-account-setup,1,0,0.0
ad-campaign-management,1,0,0.0
manual-payment,1,0,0.0
postback-approval,1,0,0.0
ad-categories,1,1,1.0
policy-guidelines,1,1,1.0
api-issues,1,0,0.0
creative-management,1,0,0.0
rollback-request,1,0,0.0
api-token,1,0,0.0
team-management,1,0,0.0
keitaro,1,0,0.0
backend-restriction,1,0,0.0
ad-manager-settings,1,0,0.0
user-introduction,1,0,0.0
credit-card-decline,1,0,0.0
escalation,1,1,1.0
account-details,1,1,1.0
service-availability,1,1,1.0
ad-settings,1,0,0.0
conversion-event,1,0,0.0
advertising-metrics,1,0,0.0
payment-setup,1,0,0.0
price-discrepancy,1,0,0.0
cancel-service,1,0,0.0
ad-account-threshold,1,0,0.0
payment-decline,1,0,0.0
auto-insurance-ads,1,1,1.0
campaign-strategy,1,1,1.0
conversion-definition,1,1,1.0
ad-reporting,1,1,1.0
pixel-authorization,1,0,0.0
cpm-fluctuations,1,0,0.0
impression-troubleshooting,1,0,0.0
manual-tracking,1,0,0.0
report-viewing,1,0,0.0
webpage-display,1,0,0.0
token-request,1,1,1.0
newsletter-ads,1,1,1.0
cpm-fluctuation,1,1,1.0
cpc-fluctuation,1,1,1.0
slack-channel-access,1,0,0.0
ad-account-issues,1,1,1.0
state-targeting,1,1,1.0
events-manager,1,1,1.0
voluum-integration,1,1,1.0
email-verification,1,0,0.0
clickbank-tracking,1,0,0.0
tid-parameter,1,0,0.0
postback-issue,1,0,0.0
platform-restriction,1,0,0.0
ad-moderation,1,0,0.0
callback-param,1,0,0.0
human-support,1,0,0.0
celebrity-image,1,1,1.0
language-change,1,1,1.0
user-instructions,1,1,1.0
ad-link-request,1,0,0.0
file-download,1,1,1.0
support-inquiry,1,1,1.0
budget-concerns,1,0,0.0
data-analysis,1,1,1.0
feature-enablement,1,1,1.0
postback-troubleshooting,1,0,0.0
billing-inquiries,1,0,0.0
website-loading-issue,1,0,0.0
campaign-duplication,1,0,0.0
token-issue,1,0,0.0
curl-syntax,1,0,0.0
verification-issue,1,0,0.0
video-ad-issue,1,0,0.0
admanager,1,0,0.0
pixel-issue,1,1,1.0
human-review-request,1,0,0.0
ad-inspiration,1,0,0.0
rejected-ads,1,1,1.0
advertising-spend,1,1,1.0
user-interests,1,0,0.0
bot-interaction,1,0,0.0
partnership-inquiry,1,0,0.0
currency,1,0,0.0
cpc-increase,1,0,0.0
postback-limitations,1,0,0.0
max-conversion-value,1,1,1.0
e-commerce,1,1,1.0
ad-link,1,0,0.0
payment-error,1,0,0.0
ad-link-retrieval,1,0,0.0
navigation-help,1,0,0.0
redirect-links,1,1,1.0
affiliate-programs,1,1,1.0
user-cancellation,1,0,0.0
character-limits,1,0,0.0
industry-selection,1,0,0.0
website-verification,1,0,0.0
postback-creation,1,1,1.0
third-party-publishers,1,0,0.0
cpa-optimization,1,1,1.0
web-pixel,1,1,1.0
server-postback,1,1,1.0
refund-inquiry,1,0,0.0
ad-exclusion,1,0,0.0
ad-launch-problems,1,0,0.0
vertical-selection,1,1,1.0
product-eligibility,1,1,1.0
invoice-creation,1,0,0.0
ad-warnings,1,1,1.0
advertising-verification,1,1,1.0
new-user-support,1,1,1.0
promotion-details,1,1,1.0
ad-setup-issue,1,0,0.0
advertising-requirements,1,0,0.0
offer18,1,0,0.0
cpc-cost,1,0,0.0
ad-billing,1,0,0.0
cost-variation,1,0,0.0
ad-set-activation,1,1,1.0
video-ad-creation,1,0,0.0
media-library-import,1,0,0.0
pixel-creation-error,1,0,0.0
clickbait-issue,1,0,0.0
creative-dimensions,1,1,1.0
url-update,1,1,1.0
campaign-cloning,1,1,1.0
gift-cards,1,0,0.0
currency-transfer,1,0,0.0
scheduling-issue,1,0,0.0
day-parting,1,0,0.0
consultation,1,1,1.0
campaign-retrieval,1,0,0.0
url-format-error,1,0,0.0
redtrack-connection,1,1,1.0
creative-sharing,1,1,1.0
ad-rejection-appeal,1,1,1.0
registration-requirement,1,0,0.0
subscription-management,1,0,0.0
service-interruption,1,0,0.0
user-roles,1,0,0.0
credit-claim,1,1,1.0
user-identification,1,1,1.0
bot-identity,1,1,1.0
csv-upload,1,1,1.0
data-formatting,1,1,1.0
audience-upload,1,0,0.0
spreadsheet-formatting,1,0,0.0
landing-page-optimization,1,0,0.0
tracking-discrepancies,1,0,0.0
operator-connection,1,0,0.0
ad-processing,1,0,0.0
user-interface,1,0,0.0
password-reset,1,1,1.0
ad-manager-navigation,1,0,0.0
time-zone-settings,1,0,0.0
post-conversion-testing,1,1,1.0
feedback,1,1,1.0
information-entry,1,1,1.0
desktop-traffic,1,1,1.0
platform-capabilities,1,1,1.0
audience-demographics,1,0,0.0
postback-event,1,0,0.0
digistore24-integration,1,0,0.0
cpm-issues,1,0,0.0
voluum-tracking,1,0,0.0
shopline,1,1,1.0
code-removal,1,1,1.0
api-permissions,1,0,0.0
reporting-endpoint,1,0,0.0
filter-ids,1,0,0.0
ads-geolocation,1,0,0.0
recharge-problem,1,0,0.0
ad-cloning,1,0,0.0
ad-credit-limit,1,0,0.0
pixel-code,1,0,0.0
newsbreak-dashboard,1,0,0.0
postback-saving,1,0,0.0
maxconv-integration,1,0,0.0
ad-account-support,1,0,0.0
event-data-view,1,0,0.0
ad-comments,1,0,0.0
event-test,1,0,0.0
campaign-stabilization,1,1,1.0
bid-adjustment,1,1,1.0
tcpa,1,1,1.0
ad-balance,1,0,0.0
account-billing,1,0,0.0
ad-disapproval,1,0,0.0
ad-account-top-up,1,0,0.0
support-issue,1,0,0.0
ad-pending-issue,1,0,0.0
agent-request,1,0,0.0
website-credibility,1,1,1.0
product-compliance,1,0,0.0
data-exchange,1,1,1.0
ad-account,1,0,0.0
data-privacy,1,0,0.0
image-compliance,1,0,0.0
email-issue,1,0,0.0
subdomain-setup,1,0,0.0
ad-status-warning,1,0,0.0
endorsement-issues,1,0,0.0
pixel-confirmation,1,0,0.0
registration-issues,1,0,0.0
marketing-area,1,0,0.0
ad-cost,1,1,1.0
traffic-source,1,0,0.0
gaming-case-studies,1,1,1.0
ad-display-issue,1,1,1.0
account-lock,1,0,0.0
multiple-accounts,1,0,0.0
cross-domain-issue,1,0,0.0
access-token-management,1,0,0.0
api-data-retrieval,1,0,0.0
language-selection,1,0,0.0
language-support,1,0,0.0
campaign-pending,1,0,0.0
pixel-event-tracking,1,0,0.0
profile-navigation,1,1,1.0
web-event-deletion,1,0,0.0
pixel-setup-error,1,0,0.0
personal-information-verification,1,1,1.0
support-ticket,1,1,1.0
content-issues,1,0,0.0
product-restrictions,1,0,0.0
business-profile-approval,1,1,1.0
verification-criteria,1,1,1.0
domain-requirements,1,1,1.0
transaction-failure,1,0,0.0
charge-discrepancy,1,0,0.0
bemob,1,0,0.0
buygood-network,1,0,0.0
zip-code-targeting,1,0,0.0
ad-setup-issues,1,0,0.0
customer-service-request,1,0,0.0
campaign-budgeting,1,0,0.0
ad-structure,1,0,0.0
pixel-access,1,1,1.0
advertising-verticals,1,1,1.0
advertising-strategies,1,1,1.0
spending-levels,1,1,1.0
verticals,1,1,1.0
dashboard-navigation,1,0,0.0
video-ad-limit,1,0,0.0
team-access,1,0,0.0
bulk-editing,1,0,0.0
location-targeting,1,0,0.0
manual-data-sending,1,0,0.0
clickmagick-integration,1,0,0.0
ad-activation,1,1,1.0
meeting-scheduling,1,0,0.0
ad-link-access,1,0,0.0
ad-campaign-learning-phase,1,0,0.0
cpa-bidding,1,1,1.0
comment-management,1,1,1.0
banking-issues,1,0,0.0
international-access,1,0,0.0
mmp-links,1,1,1.0
billing-methods,1,1,1.0
suspicious-activity,1,0,0.0
account-performance,1,1,1.0
foreign-enterprise,1,1,1.0
advertising-restrictions,1,1,1.0
us-market,1,1,1.0
virtual-assistant,1,1,1.0
digital-marketing,1,1,1.0
device-targeting,1,0,0.0
